"id","wave","exp_self","exp_household","exp_family","exp_relations","y"
1291040761,1,1,1,3,1,1
1289340951,1,1,1,1,1,NA
1291216539,1,1,1,1,1,1
1290981385,1,1,1,4,1,1
1291257335,1,1,1,1,1,3
1289192647,1,2,NA,NA,3,3
1290981745,1,1,1,1,1,NA
1291076643,1,1,1,1,1,5
1290981997,1,1,1,1,1,3
1290888823,1,1,1,1,1,1
1291260587,1,1,1,1,2,4
1291030775,1,1,1,1,1,1
1289151119,1,1,1,1,2,1
1291040695,1,1,1,1,1,4
1291040757,1,1,1,1,1,1
1291077005,1,1,1,1,1,2
1291040769,1,1,1,2,1,3
1291121927,1,1,1,1,1,4
1291030769,1,1,NA,1,1,1
1290933449,1,1,1,1,1,1
1291299811,1,1,1,1,1,1
1289856891,1,NA,NA,NA,NA,5
1291332997,1,NA,NA,NA,NA,NA
1291127163,1,1,1,1,1,1
1291334601,1,1,1,1,1,3
1290938991,1,1,1,1,1,1
1291331389,1,1,1,1,1,4
1291040125,1,1,2,1,1,3
1291231979,1,1,1,1,1,3
1290888815,1,1,1,1,2,3
1289856889,1,1,1,3,1,1
1290988671,1,1,1,1,1,1
1291030753,1,1,1,1,1,1
1291040763,1,1,1,2,NA,1
1291337157,1,1,1,1,1,1
1291389957,1,NA,NA,NA,NA,3
1291388569,1,1,1,1,NA,3
1291405521,1,1,1,2,1,2
1291406037,1,1,1,1,1,3
1290988685,1,1,1,1,1,1
1291407747,1,1,1,1,1,1
1291408431,1,1,1,1,1,1
1290988807,1,1,1,1,4,2
1291121527,1,2,2,2,2,3
1291030783,1,1,1,1,1,1
1289856879,1,2,1,2,4,2
1291084131,1,1,1,1,5,1
1291451557,1,1,1,1,1,1
1289251915,1,1,1,1,1,1
1291284453,1,1,1,1,1,3
1291121933,1,1,1,1,1,1
1291489707,1,1,1,1,1,1
1291502871,1,1,1,1,1,1
1291040775,1,1,1,5,5,2
1291030779,1,1,1,1,1,1
1291030761,1,NA,NA,2,2,1
1290933455,1,1,1,1,1,3
1291163721,1,1,1,1,1,1
1291040459,1,1,1,1,1,5
1290988667,1,1,1,1,1,2
1291539979,1,2,1,1,1,3
1289685429,1,1,1,1,1,5
1291127911,1,1,1,1,1,1
1291582047,1,1,1,1,3,2
1290981885,1,1,1,1,1,3
1291597013,1,1,1,1,NA,1
1291084947,1,1,1,1,1,1
1290939265,1,1,1,1,1,4
1291030755,1,1,1,1,1,5
1291076681,1,1,1,1,1,2
1291207011,1,2,2,3,NA,5
1291121439,1,2,1,1,4,3
1291524753,1,1,NA,NA,NA,5
1291627721,1,1,1,1,1,4
1288861133,1,1,1,1,1,5
1290981637,1,NA,NA,NA,NA,2
1291587135,1,1,1,1,1,2
1291665661,1,1,1,2,1,2
1291621007,1,1,1,1,1,2
1291300631,1,1,1,1,1,3
1290988677,1,1,1,NA,NA,5
1291489835,1,1,1,1,1,1
1291524465,1,1,1,1,1,1
1291127173,1,1,1,1,1,3
1291736639,1,1,1,2,1,2
1291029483,1,1,1,1,1,4
1291718313,1,NA,NA,NA,1,2
1291671605,1,1,2,2,NA,3
1290939283,1,1,1,1,NA,3
1291127871,1,1,1,1,1,1
1291621005,1,1,1,1,1,1
1291408459,1,1,1,1,1,2
1291725929,1,1,1,1,1,1
1289500667,1,1,1,1,1,2
1291671751,1,1,1,1,1,5
1290938751,1,1,1,1,NA,1
1290987503,1,1,1,1,4,3
1291030733,1,1,1,1,1,1
1291587063,1,1,1,1,4,1
1291725723,1,1,1,1,1,3
1289895921,1,1,1,1,1,3
1291798373,1,2,2,2,2,4
1291541347,1,1,1,1,1,1
1291582773,1,1,1,1,3,2
1291765799,1,1,1,1,1,4
1291084817,1,1,1,1,1,1
1291805491,1,1,1,1,1,1
1290988527,1,2,2,2,2,1
1291771169,1,1,1,1,1,1
1291825173,1,1,1,NA,NA,1
1291859463,1,1,1,1,1,3
1289767875,1,1,1,1,1,1
1291671749,1,1,1,1,1,1
1291621003,1,1,1,1,1,3
1291760755,1,1,1,1,NA,2
1291408485,1,1,1,1,1,1
1291216071,1,1,1,1,1,2
1291785739,1,1,1,1,1,1
1291040415,1,1,1,1,1,NA
1289251913,1,1,1,1,1,3
1291040373,1,1,1,1,1,1
1291163535,1,1,1,1,4,5
1290933241,1,1,1,1,1,3
1291030351,1,1,1,1,1,2
1291216383,1,1,1,1,1,3
1291489831,1,1,2,2,2,2
1291984245,1,NA,NA,NA,NA,3
1291766081,1,1,1,1,1,1
1291766077,1,1,1,1,1,2
1289500637,1,1,NA,2,2,4
1290988699,1,NA,NA,NA,NA,4
1291973573,1,1,1,1,1,4
1291621001,1,1,1,1,1,1
1292073371,1,1,1,1,1,1
1292034615,1,1,NA,1,1,1
1292073469,1,1,1,1,3,5
1291040773,1,1,1,1,NA,1
1291171003,1,1,1,1,1,1
1291206649,1,1,1,1,1,4
1291586773,1,1,1,1,1,1
1291984915,1,1,1,1,1,1
1292076677,1,1,1,1,1,5
1291760699,1,1,1,1,1,2
1291216535,1,2,1,1,1,2
1292116169,1,1,1,1,1,5
1292034609,1,1,1,1,1,1
1292126145,1,1,1,1,1,NA
1292116167,1,NA,NA,NA,NA,3
1292166927,1,1,1,1,3,1
1291933507,1,1,1,1,1,2
1290988653,1,NA,NA,NA,NA,3
1292073391,1,1,1,1,1,2
1291127517,1,2,1,1,1,NA
1289895923,1,1,NA,NA,NA,4
1292073291,1,2,1,1,1,1
1291489447,1,1,1,1,2,1
1289059173,1,2,1,1,2,3
1292126713,1,NA,NA,NA,NA,3
1292381075,1,2,1,1,3,1
1291170999,1,1,1,1,1,2
1292899921,1,1,1,1,1,1
1293011879,1,1,1,1,NA,2
1293157475,1,1,1,1,1,3
1293157321,1,1,1,1,3,2
1290888837,1,1,1,1,1,3
1292073499,1,1,1,1,1,1
1288914305,1,1,1,1,1,1
1289585867,1,1,1,1,1,1
1291216263,1,1,1,1,1,1
1291077003,1,1,1,4,1,1
1293083961,1,1,1,1,1,1
1291163723,1,1,1,1,1,5
1293451105,1,1,1,1,1,1
1291206793,1,1,1,1,4,2
1291937661,1,1,1,1,1,4
1293503933,1,1,1,2,NA,1
1290879691,1,1,1,1,1,1
1291806121,1,2,2,2,3,3
1291171441,1,1,1,1,1,4
1291368363,1,NA,1,1,4,4
1293159553,1,1,1,NA,NA,1
1291671619,1,1,1,1,2,1
1291232005,1,1,1,1,3,2
1291539785,1,1,1,1,NA,1
1291524391,1,1,1,1,1,1
1292126723,1,1,1,1,1,5
1291076425,1,NA,NA,NA,NA,3
1292162105,1,1,1,1,1,3
1291937509,1,1,1,1,NA,3
1291170193,1,1,1,1,1,3
1291337155,1,NA,NA,NA,NA,4
