"id","wave","y","health","gender","age","edu","hinc"
"1273629877",1,1,4,2,79,5,6
"1291121925",1,2,2,2,64,5,3
"1291030771",1,5,5,1,69,6,NA
"1291127903",1,5,2,2,46,4,7
"1291147235",1,3,5,1,56,5,9
"1291148849",1,1,3,2,63,4,6
"1291040751",1,4,3,1,30,5,5
"1291076583",1,1,4,2,67,5,3
"1291040595",1,5,4,2,57,7,11
"1291076847",1,2,2,2,68,6,6
"1291167533",1,3,4,2,69,6,5
"1289251917",1,3,3,1,30,7,4
"1290939145",1,1,5,2,59,5,8
"1291040309",1,3,4,2,56,4,9
"1288666529",1,1,4,1,25,4,8
"1291163733",1,4,3,2,50,6,5
"1289849559",1,1,5,2,54,2,7
"1289021999",1,5,3,2,60,6,11
"1291206873",1,1,3,2,71,4,6
"1289856875",1,3,4,2,66,4,4
"1291029369",1,3,2,1,57,4,8
"1291040753",1,1,3,1,31,4,NA
"1291121921",1,4,5,1,55,5,NA
"1291219953",1,NA,3,2,71,3,5
"1289419299",1,4,4,2,84,6,4
"1291040761",1,1,4,2,71,6,7
"1289340951",1,NA,2,2,70,4,4
"1291216539",1,1,4,2,63,6,10
"1290981385",1,1,4,2,43,7,3
"1291257335",1,3,5,2,25,3,NA
"1289192647",1,3,3,2,67,6,9
"1290981745",1,NA,5,2,61,1,8
"1291076643",1,5,NA,2,69,5,NA
"1290981997",1,3,4,2,73,4,4
"1290888823",1,1,3,2,55,4,3
"1291260587",1,4,5,1,52,6,7
"1291030775",1,1,4,1,71,2,5
"1289151119",1,1,5,2,47,5,5
"1291040695",1,4,5,2,58,7,7
"1291040757",1,1,3,1,56,4,5
"1291077005",1,2,3,1,77,7,7
"1291040769",1,3,2,1,47,6,2
"1291121927",1,4,4,2,66,6,4
"1291030769",1,1,4,1,25,6,2
"1290933449",1,1,3,2,62,4,9
"1291299811",1,1,4,2,77,7,8
"1289856891",1,5,3,1,77,6,NA
"1291332997",1,NA,NA,2,31,NA,NA
"1291127163",1,1,4,2,54,7,6
"1291334601",1,3,4,1,67,7,NA
"1290938991",1,1,5,1,63,7,6
"1291331389",1,4,5,1,47,5,8
"1291040125",1,3,5,2,61,7,11
"1291231979",1,3,5,1,55,6,10
"1290888815",1,3,3,1,22,1,1
"1289856889",1,1,4,1,23,4,NA
"1290988671",1,1,5,1,55,6,8
"1291030753",1,1,3,2,62,5,2
"1291040763",1,1,4,2,55,6,9
"1291337157",1,1,3,2,25,6,1
"1291389957",1,3,5,2,77,7,7
